"Value","Path","Exists","MeanMatches","CSVMean","ReportedMean"
"1.356496","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094207.csv","True","True","1.356496","1.356496"
"1.359176","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB001_Base_Z_IPD_25.0C_sweep_1_20260604_094207.csv","True","True","1.359176","1.359176"
"1.338557","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094207.csv","True","True","1.338557","1.338557"
"1.343548","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB002_Base_Z_IPD_25.0C_sweep_1_20260604_094208.csv","True","True","1.343548","1.343548"
"1.356959","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094207.csv","True","True","1.356959","1.356959"
"1.361713","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Base\SIMB003_Base_Z_IPD_25.0C_sweep_1_20260604_094208.csv","True","True","1.361713","1.361713"
"1.364317","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_094208.csv","True","True","1.364317","1.364317"
"1.361294","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_1_20260604_094208.csv","True","True","1.361294","1.361294"
"1.361216","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.361216","1.361216"
"1.339478","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_094208.csv","True","True","1.339478","1.339478"
"1.350027","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_1_20260604_094208.csv","True","True","1.350027","1.350027"
"1.363172","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.363172","1.363172"
"1.363824","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_1_20260604_094208.csv","True","True","1.363824","1.363824"
"1.359660","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.359660","1.359660"
"1.364271","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_01\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_1_20260604_094209.csv","True","True","1.364271","1.364271"
"1.359007","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094214.csv","True","True","1.359007","1.359007"
"1.353889","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB001_Base_Z_IPD_25.0C_sweep_2_20260604_094215.csv","True","True","1.353889","1.353889"
"1.337789","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094214.csv","True","True","1.337789","1.337789"
"1.347651","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB002_Base_Z_IPD_25.0C_sweep_2_20260604_094215.csv","True","True","1.347651","1.347651"
"1.359682","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094214.csv","True","True","1.359682","1.359682"
"1.352398","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Base\SIMB003_Base_Z_IPD_25.0C_sweep_2_20260604_094215.csv","True","True","1.352398","1.352398"
"1.360052","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_2_20260604_094215.csv","True","True","1.360052","1.360052"
"1.353571","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_2_20260604_094216.csv","True","True","1.353571","1.353571"
"1.364308","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_2_20260604_094216.csv","True","True","1.364308","1.364308"
"1.350333","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_2_20260604_094215.csv","True","True","1.350333","1.350333"
"1.348864","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_2_20260604_094216.csv","True","True","1.348864","1.348864"
"1.367119","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_2_20260604_094216.csv","True","True","1.367119","1.367119"
"1.361879","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_2_20260604_094215.csv","True","True","1.361879","1.361879"
"1.363955","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_2_20260604_094216.csv","True","True","1.363955","1.363955"
"1.350870","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\01_OpA\Replicate_02\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_2_20260604_094216.csv","True","True","1.350870","1.350870"
"1.360354","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094209.csv","True","True","1.360354","1.360354"
"1.357812","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Base\SIMB001_Base_Z_IPD_25.0C_sweep_1_20260604_094210.csv","True","True","1.357812","1.357812"
"1.337110","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094210.csv","True","True","1.337110","1.337110"
"1.339220","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Base\SIMB002_Base_Z_IPD_25.0C_sweep_1_20260604_094210.csv","True","True","1.339220","1.339220"
"1.359891","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094210.csv","True","True","1.359891","1.359891"
"1.363086","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Base\SIMB003_Base_Z_IPD_25.0C_sweep_1_20260604_094210.csv","True","True","1.363086","1.363086"
"1.366053","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_094210.csv","True","True","1.366053","1.366053"
"1.363155","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_1_20260604_094211.csv","True","True","1.363155","1.363155"
"1.354768","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_1_20260604_094211.csv","True","True","1.354768","1.354768"
"1.348617","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_094210.csv","True","True","1.348617","1.348617"
"1.345299","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_1_20260604_094211.csv","True","True","1.345299","1.345299"
"1.358554","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_1_20260604_094211.csv","True","True","1.358554","1.358554"
"1.362151","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_1_20260604_094211.csv","True","True","1.362151","1.362151"
"1.353034","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_1_20260604_094211.csv","True","True","1.353034","1.353034"
"1.352899","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_01\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_1_20260604_094211.csv","True","True","1.352899","1.352899"
"1.354066","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094216.csv","True","True","1.354066","1.354066"
"1.363841","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Base\SIMB001_Base_Z_IPD_25.0C_sweep_2_20260604_094217.csv","True","True","1.363841","1.363841"
"1.343768","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094217.csv","True","True","1.343768","1.343768"
"1.341705","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Base\SIMB002_Base_Z_IPD_25.0C_sweep_2_20260604_094217.csv","True","True","1.341705","1.341705"
"1.354447","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094217.csv","True","True","1.354447","1.354447"
"1.368511","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Base\SIMB003_Base_Z_IPD_25.0C_sweep_2_20260604_094217.csv","True","True","1.368511","1.368511"
"1.363446","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_2_20260604_094217.csv","True","True","1.363446","1.363446"
"1.359012","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_2_20260604_094218.csv","True","True","1.359012","1.359012"
"1.362356","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_2_20260604_094218.csv","True","True","1.362356","1.362356"
"1.347542","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_2_20260604_094218.csv","True","True","1.347542","1.347542"
"1.349771","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_2_20260604_094218.csv","True","True","1.349771","1.349771"
"1.362220","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_2_20260604_094219.csv","True","True","1.362220","1.362220"
"1.359422","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_2_20260604_094218.csv","True","True","1.359422","1.359422"
"1.356199","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_2_20260604_094218.csv","True","True","1.356199","1.356199"
"1.361135","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\02_OpB\Replicate_02\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_2_20260604_094219.csv","True","True","1.361135","1.361135"
"1.347559","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094212.csv","True","True","1.347559","1.347559"
"1.351777","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Base\SIMB001_Base_Z_IPD_25.0C_sweep_1_20260604_094212.csv","True","True","1.351777","1.351777"
"1.339063","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094212.csv","True","True","1.339063","1.339063"
"1.344906","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Base\SIMB002_Base_Z_IPD_25.0C_sweep_1_20260604_094212.csv","True","True","1.344906","1.344906"
"1.357939","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_1_20260604_094212.csv","True","True","1.357939","1.357939"
"1.354778","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Base\SIMB003_Base_Z_IPD_25.0C_sweep_1_20260604_094213.csv","True","True","1.354778","1.354778"
"1.359349","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_1_20260604_094213.csv","True","True","1.359349","1.359349"
"1.356934","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_1_20260604_094213.csv","True","True","1.356934","1.356934"
"1.357458","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_1_20260604_094214.csv","True","True","1.357458","1.357458"
"1.354298","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_1_20260604_094213.csv","True","True","1.354298","1.354298"
"1.353443","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_1_20260604_094213.csv","True","True","1.353443","1.353443"
"1.365694","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_1_20260604_094214.csv","True","True","1.365694","1.365694"
"1.360078","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_1_20260604_094213.csv","True","True","1.360078","1.360078"
"1.356238","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_1_20260604_094213.csv","True","True","1.356238","1.356238"
"1.362908","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_01\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_1_20260604_094214.csv","True","True","1.362908","1.362908"
"1.353097","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Base\SIMB001_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094219.csv","True","True","1.353097","1.353097"
"1.355015","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Base\SIMB001_Base_Z_IPD_25.0C_sweep_2_20260604_094219.csv","True","True","1.355015","1.355015"
"1.343299","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Base\SIMB002_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094219.csv","True","True","1.343299","1.343299"
"1.347299","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Base\SIMB002_Base_Z_IPD_25.0C_sweep_2_20260604_094220.csv","True","True","1.347299","1.347299"
"1.349326","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Base\SIMB003_Base_Z_IB_IOP_25.0C_sweep_2_20260604_094219.csv","True","True","1.349326","1.349326"
"1.355846","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Base\SIMB003_Base_Z_IPD_25.0C_sweep_2_20260604_094220.csv","True","True","1.355846","1.355846"
"1.357743","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR001_Remote_Z_IOP_25.0C_sweep_2_20260604_094220.csv","True","True","1.357743","1.357743"
"1.363074","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR001_Remote_Z_IPV_25.0C_sweep_2_20260604_094220.csv","True","True","1.363074","1.363074"
"1.363630","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR001_Remote_Z_VPV_25.0C_sweep_2_20260604_094221.csv","True","True","1.363630","1.363630"
"1.348629","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR002_Remote_Z_IOP_25.0C_sweep_2_20260604_094220.csv","True","True","1.348629","1.348629"
"1.352026","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR002_Remote_Z_IPV_25.0C_sweep_2_20260604_094220.csv","True","True","1.352026","1.352026"
"1.359279","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR002_Remote_Z_VPV_25.0C_sweep_2_20260604_094221.csv","True","True","1.359279","1.359279"
"1.362896","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR003_Remote_Z_IOP_25.0C_sweep_2_20260604_094220.csv","True","True","1.362896","1.362896"
"1.361608","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR003_Remote_Z_IPV_25.0C_sweep_2_20260604_094221.csv","True","True","1.361608","1.361608"
"1.367684","P:\MGunes\DuplexerTestSuite\Results\GaugeRR_SimRun_20260604_094207_Data\03_OpC\Replicate_02\Remote\SIMR003_Remote_Z_VPV_25.0C_sweep_2_20260604_094221.csv","True","True","1.367684","1.367684"
